Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak56298cC,m01oak56298cC-t01.1,7.68,AT2G04220,,Plant protein of unknown function (DUF868)
m01oak43557jC,m01oak43557jC-t01.1,7.68,D:PF00931,NB-ARC,NB-ARC domain
m01oak34780Cz,,7.68,,,
m01oak77444Cz,,7.67,,,
m01oak26984cF,,7.67,,,
m01oak70234Cz,,7.66,,,
m01oak43999Ct,m01oak43999Ct-t01.1,7.66,AT2G13980,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
m01oak78225Jz,,7.65,,,
m01oak71059Cz,,7.64,,,
m01oak54622cC,,7.63,,,
m01oak16248CC,m01oak16248CC-t01.1,7.63,AT3G13600,,calmodulin-binding family protein
m01oak70906Cz,,7.62,,,
m01oak70308Cz,,7.62,,,
m01oak71577Cz,,7.61,,,
m01oak66914Cz,,7.61,,,
m01oak12062Cz,,7.60,,,
m01oak26170Cz,,7.60,,,
m01oak27816cC,,7.59,,,
m01oak57710Cz,,7.59,,,
m01oak66069CT,m01oak66069CT-t01.1,7.58,F:PF07279,DUF1442,Protein of unknown function (DUF1442)
m01oak21089cC,m01oak21089cC-t01.1,7.58,F:PF03641,Lysine_decarbox,Possible lysine decarboxylase
m01oak67146Cz,m01oak67146Cz-t01.1,7.58,D:PF00582,Usp,Universal stress protein family
m01oak66412Cz,,7.58,,,
m01oak27608CC,m01oak27608CC-t01.1,7.57,AT1G27461,,unknown protein
m01oak16448CC,m01oak16448CC-t01.1,7.57,D:PF00194,Carb_anhydrase,Eukaryotic-type carbonic anhydrase
m01oak82463Cz,,7.57,,,
m01oak63303Cc,,7.56,,,
m01oak12720jC,m01oak12720jC-t01.1,7.55,F:PF00257,3x:Dehydrin,Dehydrin
m01oak73731Ci,,7.55,,,
m01oak08782cC,m01oak08782cC-t01.1,7.55,AT2G45760,BAP2,BON association protein 2
m01oak43350Cz,,7.54,,,
m01oak78388cF,m01oak78388cF-t01.1,7.54,D:PF00075 D:PF13456,RNase_H RVT_3,RNase H ~ Reverse transcriptase-like
m01oak18815cf,m01oak18815cf-t01.1,7.53,AT1G13530,,Protein of unknown function (DUF1262)
m01oak18824cf,m01oak18824cf-t01.1,7.53,AT1G80160,,Lactoylglutathione lyase / glyoxalase I family protein
m01oak83460Cz,,7.53,,,
m01oak00393cC,,7.53,,,
m01oak04723cC,m01oak04723cC-t01.1,7.52,AT1G70890,MLP43,MLP-like protein 43
m01oak78330Cz,,7.51,,,
m01oak78566Jz,,7.49,,,
m01oak77910Cz,,7.49,,,
m01oak20806Cz,,7.48,,,
m01oak22646CC,m01oak22646CC-t01.1,7.48,AT1G29640,,"Protein of unknown function, DUF584"
m01oak08082jC,m01oak08082jC-t01.1,7.48,AT1G02660,,alpha/beta-Hydrolases superfamily protein
m01oak14228Cz,,7.47,,,
m01oak62298Ci,,7.47,,,
m01oak43234Jz,,7.47,,,
m01oak19140cC,m01oak19140cC-t01.1,7.46,AT3G04070,NAC047,NAC domain containing protein 47
m01oak35173cF,m01oak35173cF-t01.1,7.46,D:PF00139 D:PF00069 D:PF07714,Lectin_legB Pkinase Pkinase_Tyr,Legume lectin domain ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak32304Cc,m01oak32304Cc-t01.1,7.46,D:PF13837,Myb_DNA-bind_4,Myb/SANT-like DNA-binding domain
m01oak80891Cz,,7.45,,,
m01oak32194Cz,,7.45,,,
m01oak17538cC,m01oak17538cC-t01.1,7.45,F:PF01490,Aa_trans,Transmembrane amino acid transporter protein
m01oak78019Cz,,7.45,,,
m01oak50625cF,,7.44,,,
m01oak26065CC,m01oak26065CC-t01.1,7.43,D:PF07731 D:PF07732 D:PF00394,Cu-oxidase_2 Cu-oxidase_3 Cu-oxidase,Multicopper oxidase ~ Multicopper oxidase ~ Multicopper oxidase
m01oak18546Cz,,7.43,,,
m01oak14180cC,m01oak14180cC-t01.1,7.43,F:PF03168,LEA_2,Late embryogenesis abundant protein
m01oak58734cf,m01oak58734cf-t01.1,7.43,AT5G09430,,alpha/beta-Hydrolases superfamily protein
m01oak47235jF,m01oak47235jF-t01.1,7.42,AT1G30370,,alpha/beta-Hydrolases superfamily protein
m01oak38125Jc,m01oak38125Jc-t01.1,7.42,D:PF00067,p450,Cytochrome P450
m01oak42368Cz,,7.42,,,
m01oak59957Cz,,7.42,,,
m01oak07605cC,m01oak07605cC-t01.1,7.42,AT3G42640,HA8,H(+)-ATPase 8
m01oak77807Cz,,7.42,,,
m01oak74020cF,m01oak74020cF-t01.1,7.42,F:PF00004,AAA,ATPase family associated with various cellular activities (AAA)
m01oak65789Cz,,7.42,,,
m01oak14055Cz,,7.41,,,
m01oak40769Cz,,7.41,,,
m01oak46895Cz,,7.41,,,
m01oak72870Cz,,7.40,,,
m01oak73824Cz,,7.40,,,
m01oak41788Cz,,7.40,,,
m01oak37631CC,m01oak37631CC-t01.1,7.40,F:PF02365,NAM,No apical meristem (NAM) protein
m01oak15342CC,m01oak15342CC-t01.1,7.40,AT2G28490,,RmlC-like cupins superfamily protein
m01oak03080cC,,7.39,,,
m01oak07357CC,m01oak07357CC-t01.1,7.39,AT3G28210,PMZ,zinc finger (AN1-like) family protein
m01oak72252Cz,,7.39,,,
m01oak21220Cz,,7.39,,,
m01oak36919Cz,,7.39,,,
m01oak14119cC,m01oak14119cC-t01.1,7.38,F:PF05553,DUF761,Cotton fibre expressed protein
m01oak41873ci,m01oak41873ci-t01.1,7.37,D:PF13692 F:PF00534,Glyco_trans_1_4 Glycos_transf_1,Glycosyl transferases group 1 ~ Glycosyl transferases group 1
m01oak48913Cz,,7.37,,,
m01oak14434cC,m01oak14434cC-t01.1,7.37,AT1G69490,NAP,"NAC-like, activated by AP3/PI"
m01oak30199Ci,,7.37,,,
m01oak13291cC,m01oak13291cC-t01.1,7.36,AT5G28237,,Pyridoxal-5'-phosphate-dependent enzyme family protein
m01oak77661CI,,7.36,,,
m01oak23196Cz,,7.36,,,
m01oak27826ci,m01oak27826ci-t01.1,7.35,F:PF02567,PhzC-PhzF,Phenazine biosynthesis-like protein
m01oak14573CC,m01oak14573CC-t01.1,7.35,AT1G28190,,unknown protein
m01oak66438Cz,,7.35,,,
m01oak69857cT,m01oak69857cT-t01.1,7.34,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak42385Cz,,7.34,,,
m01oak42564cf,m01oak42564cf-t01.1,7.34,D:PF00005,ABC_tran,ABC transporter
m01oak16401cC,m01oak16401cC-t01.1,7.34,F:PF03350,UPF0114,"Uncharacterized protein family, UPF0114"
m01oak45472cC,m01oak45472cC-t01.1,7.33,AT3G47440,TIP5;1,tonoplast intrinsic protein 5;1
m01oak07729cC,m01oak07729cC-t01.1,7.33,AT3G48140,,B12D protein
m01oak76387Cz,,7.33,,,
m01oak11620cC,m01oak11620cC-t01.1,7.33,D:PF08880 D:PF08879,QLQ WRC,QLQ ~ WRC
m01oak36594CC,m01oak36594CC-t01.1,7.33,AT4G39810,,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
m01oak36083cC,,7.33,,,
m01oak37407Cz,,7.32,,,
m01oak40642Cz,,7.32,,,
m01oak83004Cz,,7.32,,,
m01oak25262Cz,,7.32,,,
m01oak08131cC,m01oak08131cC-t01.1,7.32,D:PF00314,Thaumatin,Thaumatin family
m01oak71153Cz,,7.31,,,
m01oak30048CF,m01oak30048CF-t01.1,7.31,AT3G22250,,UDP-Glycosyltransferase superfamily protein
m01oak76523Cz,,7.30,,,
m01oak20326cF,m01oak20326cF-t01.1,7.30,F:PF01490,Aa_trans,Transmembrane amino acid transporter protein
m01oak45734Cz,m01oak45734Cz-t01.1,7.30,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak82867Cz,,7.30,,,
m01oak07669cC,m01oak07669cC-t01.1,7.29,AT5G26340,MSS1,Major facilitator superfamily protein
m01oak68493cf,,7.29,,,
m01oak71850cF,m01oak71850cF-t01.1,7.29,D:PF00155,Aminotran_1_2,Aminotransferase class I and II
m01oak11600Cc,,7.29,,,
m01oak08732cC,m01oak08732cC-t01.1,7.28,AT3G54420,EP3,homolog of carrot EP3-3 chitinase
m01oak64323CC,m01oak64323CC-t01.1,7.27,AT1G22110,,structural constituent of ribosome
m01oak81795Cz,,7.27,,,
m01oak07987cC,m01oak07987cC-t01.1,7.27,AT2G40010,,Ribosomal protein L10 family protein
m01oak25943cf,,7.27,,,
m01oak24353CC,m01oak24353CC-t01.1,7.27,F:PF01657 D:PF00069 D:PF07714,2x:Stress-antifung Pkinase Pkinase_Tyr,Salt stress response/antifungal ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak58648Cz,,7.26,,,
m01oak36653CC,m01oak36653CC-t01.1,7.26,F:PF02458,Transferase,Transferase family
m01oak56081cc,m01oak56081cc-t01.1,7.25,F:PF00954 D:PF01453,S_locus_glycop B_lectin,S-locus glycoprotein family ~ D-mannose binding lectin
m01oak18976cC,m01oak18976cC-t01.1,7.25,AT5G04760,,Duplicated homeodomain-like superfamily protein
m01oak28935cC,,7.25,,,
m01oak35945CT,,7.25,,,
m01oak16497Cz,,7.25,,,
m01oak60014Cz,,7.24,,,
m01oak68414Cz,,7.24,,,
m01oak62560Cz,,7.23,,,
m01oak55668cf,m01oak55668cf-t01.1,7.23,D:PF13561 F:PF08659 D:PF00106,adh_short_C2 KR adh_short,Enoyl-(Acyl carrier protein) reductase ~ KR domain ~ short chain dehydrogenase
m01oak69427Cz,,7.22,,,
m01oak15289CT,m01oak15289CT-t01.1,7.21,D:PF08100 F:PF00891,Dimerisation Methyltransf_2,Dimerisation domain ~ O-methyltransferase
m01oak65045Cz,,7.21,,,
m01oak37793cC,,7.20,,,
m01oak01431CC,m01oak01431CC-t01.1,7.20,AT3G47340,ASN1,glutamine-dependent asparagine synthase 1
m01oak16449cC,m01oak16449cC-t01.1,7.20,AT4G25810,XTR6,xyloglucan endotransglycosylase 6
m01oak72142Cz,,7.19,,,
m01oak35306cf,,7.19,,,
m01oak31672Cz,,7.19,,,
m01oak20303cC,m01oak20303cC-t01.1,7.19,D:PF13921 D:PF00249,2x:Myb_DNA-bind_6 2x:Myb_DNA-binding,Myb-like DNA-binding domain ~ Myb-like DNA-binding domain
m01oak36227Cz,,7.19,,,
m01oak08391CC,m01oak08391CC-t01.1,7.19,AT2G35930,PUB23,plant U-box 23
m01oak50257CT,m01oak50257CT-t01.1,7.18,AT1G32320,MKK10,MAP kinase kinase 10
m01oak38219ci,,7.18,,,
m01oak06007CC,m01oak06007CC-t01.1,7.18,AT1G55740,SIP1,seed imbibition 1
m01oak24369CC,m01oak24369CC-t01.1,7.18,F:PF12710 F:PF00122 D:PF00702,HAD E1-E2_ATPase Hydrolase,haloacid dehalogenase-like hydrolase ~ E1-E2 ATPase ~ haloacid dehalogenase-like hydrolase
m01oak34193CC,m01oak34193CC-t01.1,7.17,AT2G22790,,unknown protein
m01oak34636Cz,,7.17,,,
m01oak62430Cz,,7.16,,,
m01oak41950CC,m01oak41950CC-t01.1,7.16,AT1G30650,WRKY14,WRKY DNA-binding protein 14
m01oak28482Cz,,7.16,,,
m01oak56799CC,m01oak56799CC-t01.1,7.15,F:PF00201,UDPGT,UDP-glucoronosyl and UDP-glucosyl transferase
m01oak74088Cz,m01oak74088Cz-t01.1,7.15,D:PF01453,B_lectin,D-mannose binding lectin
m01oak59321Cz,,7.14,,,
m01oak69285Cz,,7.14,,,
m01oak22807Cz,,7.14,,,
m01oak56178Cz,,7.14,,,
m01oak37500CF,m01oak37500CF-t01.1,7.14,D:PF00295,Glyco_hydro_28,Glycosyl hydrolases family 28
m01oak09989CC,,7.13,,,
m01oak19995cF,m01oak19995cF-t01.1,7.13,F:PF00689 D:PF00690 F:PF13246 F:PF12710 F:PF00122 D:PF00702,Cation_ATPase_C Cation_ATPase_N Hydrolase_like2 HAD E1-E2_ATPase Hydrolase,"Cation transporting ATPase, C-terminus ~ Cation transporter/ATPase, N-terminus ~ Putative hydrolase of sodium-potassium ATPase alpha subunit ~ haloacid dehalogenase-like hydrolase ~ E1-E2 ATPase ~ haloacid dehalogenase-like hydrolase"
m01oak16086CC,m01oak16086CC-t01.1,7.13,D:PF00439,Bromodomain,Bromodomain
m01oak08314Jf,m01oak08314Jf-t01.1,7.13,F:PF00153,2x:Mito_carr,Mitochondrial carrier protein
m01oak71038Cz,,7.12,,,
m01oak72350Cz,,7.12,,,
m01oak77980Cz,,7.12,,,
m01oak18685Cz,,7.12,,,
m01oak79360Jz,,7.12,,,
m01oak52307cF,m01oak52307cF-t01.1,7.12,D:PF13439 D:PF13579,Glyco_transf_4 Glyco_trans_4_4,Glycosyltransferase Family 4 ~ Glycosyl transferase 4-like domain
m01oak64685Cz,,7.12,,,
m01oak34212Cz,,7.11,,,
m01oak60084Cz,,7.11,,,
m01oak55122Cz,,7.11,,,
m01oak17041cC,m01oak17041cC-t01.1,7.10,D:PF13912,2x:zf-C2H2_6,C2H2-type zinc finger
m01oak03546CC,m01oak03546CC-t01.1,7.10,m:PF09425 D:PF06200,CCT_2 tify,Divergent CCT motif ~ tify domain
m01oak61687Cz,,7.10,,,
m01oak25557CC,m01oak25557CC-t01.1,7.10,F:PF14226 D:PF03171,DIOX_N 2OG-FeII_Oxy,non-haem dioxygenase in morphine synthesis N-terminal ~ 2OG-Fe(II) oxygenase superfamily
m01oak21663CC,m01oak21663CC-t01.1,7.10,D:PF09118 F:PF07250,DUF1929 Glyoxal_oxid_N,Domain of unknown function (DUF1929) ~ Glyoxal oxidase N-terminus
m01oak67420Cz,,7.10,,,
m01oak26142Cz,,7.10,,,
m01oak34113Cz,,7.09,,,
m01oak37375Cz,,7.09,,,
m01oak28355Cz,,7.08,,,
m01oak60228Cz,,7.08,,,
m01oak82088Cz,,7.08,,,
m01oak13762Cz,,7.08,,,
m01oak27450Cz,,7.08,,,
m01oak17555Cz,m01oak17555Cz-t01.1,7.07,F:PF00939,Na_sulph_symp,Sodium:sulfate symporter transmembrane region
m01oak07962Cz,,7.07,,,
m01oak62502Cf,m01oak62502Cf-t01.1,7.07,D:PF13966,zf-RVT,zinc-binding in reverse transcriptase
m01oak22933Cz,,7.07,,,
m01oak46933Ct,m01oak46933Ct-t01.1,7.07,AT1G76240,,Arabidopsis protein of unknown function (DUF241)
m01oak50754cf,m01oak50754cf-t01.1,7.06,F:PF04780,DUF629,Protein of unknown function (DUF629)
m01oak28162Cz,m01oak28162Cz-t01.1,7.06,D:PF11721,Malectin,Di-glucose binding within endoplasmic reticulum
m01oak63099Cz,,7.05,,,
m01oak46512Cz,m01oak46512Cz-t01.1,7.05,D:PF00847,AP2,AP2 domain
m01oak08212cC,m01oak08212cC-t01.1,7.05,F:PF01095 D:PF04043,Pectinesterase PMEI,Pectinesterase ~ Plant invertase/pectin methylesterase inhibitor
m01oak81391Cz,,7.05,,,
m01oak40508cC,m01oak40508cC-t01.1,7.05,AT4G18170,WRKY28,WRKY DNA-binding protein 28
m01oak78232Cz,,7.04,,,
m01oak21813cC,m01oak21813cC-t01.1,7.04,AT1G48130,PER1,1-cysteine peroxiredoxin 1
m01oak73843cf,,7.03,,,
m01oak58901Cz,,7.03,,,
m01oak65813Cz,,7.02,,,
m01oak45177Cz,,7.02,,,
m01oak04277cC,m01oak04277cC-t01.1,7.02,AT4G10490,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
m01oak29433Cz,,7.02,,,
m01oak27731Cz,,7.01,,,
m01oak38389Cz,,7.01,,,
m01oak21039CT,m01oak21039CT-t01.1,7.01,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak70543Cz,,7.01,,,
m01oak59282ci,m01oak59282ci-t01.1,7.01,F:PF04640,PLATZ,PLATZ transcription factor
m01oak70354Cz,,7.01,,,
m01oak72768Ci,,7.00,,,
m01oak03706Cz,,7.00,,,
m01oak04245cC,m01oak04245cC-t01.1,6.98,D:PF00187 D:PF00182,Chitin_bind_1 Glyco_hydro_19,Chitin recognition protein ~ Chitinase class I
m01oak38009cC,m01oak38009cC-t01.1,6.98,D:PF00314,Thaumatin,Thaumatin family
m01oak52177Cz,,6.98,,,
m01oak68994Cz,,6.98,,,
m01oak59784Cz,,6.98,,,
m01oak65702Cz,,6.98,,,
m01oak49447Cz,,6.98,,,
m01oak61572Cz,,6.97,,,
m01oak72293Cz,,6.97,,,
m01oak52863Ci,m01oak52863Ci-t01.1,6.97,D:PF00194,Carb_anhydrase,Eukaryotic-type carbonic anhydrase
m01oak14884CC,m01oak14884CC-t01.1,6.97,D:PF06747,CHCH,CHCH domain
m01oak01834cC,m01oak01834cC-t01.1,6.97,D:PF00190,2x:Cupin_1,Cupin
m01oak05327cC,m01oak05327cC-t01.1,6.96,D:PF00067,p450,Cytochrome P450
m01oak15541Cc,m01oak15541Cc-t01.1,6.96,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak50744ct,m01oak50744ct-t01.1,6.96,F:PF06293 D:PF00036 D:PF13833 D:PF13499 D:PF13202 D:PF13405 D:PF00069 D:PF07714,Kdo 3x:EF-hand_1 4x:EF-hand_8 2x:EF-hand_7 4x:EF-hand_5 3x:EF-hand_6 Pkinase Pkinase_Tyr,Lipopolysaccharide kinase (Kdo/WaaP) family ~ EF hand ~ EF-hand domain pair ~ EF-hand domain pair ~ EF hand ~ EF-hand domain ~ Protein kinase domain ~ Protein tyrosine kinase
m01oak42472jC,m01oak42472jC-t01.1,6.96,AT2G23770,,protein kinase family protein / peptidoglycan-binding LysM domain-containing protein
m01oak74976Cz,,6.96,,,
m01oak26415Cz,,6.96,,,
m01oak25047CT,m01oak25047CT-t01.1,6.95,D:PF02826 F:PF00107,2-Hacid_dh_C ADH_zinc_N,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain ~ Zinc-binding dehydrogenase"
m01oak59670cf,m01oak59670cf-t01.1,6.95,F:PF14372 D:PF05699,DUF4413 Dimer_Tnp_hAT,Domain of unknown function (DUF4413) ~ hAT family C-terminal dimerisation region
m01oak33393Cz,,6.95,,,
m01oak45365Cz,,6.95,,,
m01oak32235Cz,,6.95,,,
m01oak70184Cz,,6.94,,,
m01oak81534Cz,,6.94,,,
m01oak64875Cz,,6.94,,,
m01oak14898CC,m01oak14898CC-t01.1,6.94,F:PF00083 F:PF07690,Sugar_tr MFS_1,Sugar (and other) transporter ~ Major Facilitator Superfamily
m01oak12254CC,m01oak12254CC-t01.1,6.94,F:PF00234 F:PF14368,Tryp_alpha_amyl LTP_2,Protease inhibitor/seed storage/LTP family ~ Probable lipid transfer
m01oak23688CC,m01oak23688CC-t01.1,6.94,F:PF08263 r:PF13504 F:PF12799 r:PF13516 r:PF13855 r:PF00560,LRRNT_2 3x:LRR_7 2x:LRR_4 5x:LRR_6 5x:LRR_8 10x:LRR_1,Leucine rich repeat N-terminal domain ~ Leucine rich repeat ~ Leucine Rich repeats (2 copies) ~ Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak25033Cz,,6.94,,,
m01oak43765Cz,,6.93,,,
m01oak58310Cz,,6.93,,,
m01oak70420Cz,,6.93,,,
m01oak83027Cz,,6.93,,,
m01oak55310cC,m01oak55310cC-t01.1,6.93,AT2G19330,PIRL6,plant intracellular ras group-related LRR 6
m01oak20708CC,,6.92,,,
m01oak28172Ci,m01oak28172Ci-t01.1,6.92,D:PF00967 D:PF00187,Barwin Chitin_bind_1,Barwin family ~ Chitin recognition protein
m01oak29471jF,m01oak29471jF-t01.1,6.92,F:PF05691,Raffinose_syn,Raffinose synthase or seed imbibition protein Sip1
m01oak63815Cz,,6.91,,,
m01oak34300cC,,6.91,,,
m01oak63108Cz,,6.91,,,
m01oak30963Cz,,6.90,,,
m01oak70256Cz,,6.90,,,
m01oak61132Cz,,6.90,,,
m01oak31569Cz,,6.90,,,
m01oak55319Cz,,6.90,,,
m01oak17564CC,m01oak17564CC-t01.1,6.89,D:PF13602 D:PF08240 F:PF00107,ADH_zinc_N_2 ADH_N ADH_zinc_N,Zinc-binding dehydrogenase ~ Alcohol dehydrogenase GroES-like domain ~ Zinc-binding dehydrogenase
m01oak56870Cz,,6.89,,,
m01oak57222Cz,,6.89,,,
m01oak59665Cz,,6.88,,,
m01oak50096Cz,,6.88,,,
m01oak83112Cz,,6.87,,,
m01oak55765cC,m01oak55765cC-t01.1,6.87,F:PF12357,PLD_C,Phospholipase D C terminal
m01oak30448Cz,,6.87,,,
m01oak23194Cz,,6.86,,,
m01oak71090Cz,,6.86,,,
m01oak81723Cz,,6.86,,,
m01oak40485Cz,,6.86,,,
m01oak44597cf,m01oak44597cf-t01.1,6.86,D:PF14543 F:PF00026,TAXi_N Asp,Xylanase inhibitor N-terminal ~ Eukaryotic aspartyl protease
m01oak11530cC,m01oak11530cC-t01.1,6.85,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak72441Cz,,6.85,,,
m01oak16311Cz,,6.85,,,
m01oak60017cf,,6.85,,,
m01oak14808CC,m01oak14808CC-t01.1,6.85,D:PF00182,Glyco_hydro_19,Chitinase class I
m01oak24774cC,,6.84,,,
m01oak14803ct,m01oak14803ct-t01.1,6.84,F:PF00854 F:PF07690,PTR2 MFS_1,POT family ~ Major Facilitator Superfamily
m01oak48304Cz,,6.83,,,
m01oak74637Cz,,6.83,,,
m01oak57589JF,m01oak57589JF-t01.1,6.83,D:PF00847,AP2,AP2 domain
m01oak19306CC,m01oak19306CC-t01.1,6.82,D:PF05199,GMC_oxred_C,GMC oxidoreductase
m01oak21579cT,m01oak21579cT-t01.1,6.82,r:PF07646 D:PF13415 r:PF13964 r:PF13418 r:PF01344,Kelch_2 Kelch_3 Kelch_6 Kelch_4 4x:Kelch_1,"Kelch motif ~ Galactose oxidase, central domain ~ Kelch motif ~ Galactose oxidase, central domain ~ Kelch motif"
m01oak68066Cz,,6.82,,,
m01oak06822cc,m01oak06822cc-t01.1,6.82,AT3G57520,SIP2,seed imbibition 2
m01oak41995Cz,,6.81,,,
m01oak67814Cz,,6.81,,,
m01oak33176CC,m01oak33176CC-t01.1,6.81,F:PF00083 F:PF07690,Sugar_tr MFS_1,Sugar (and other) transporter ~ Major Facilitator Superfamily
m01oak47621Cz,,6.81,,,
m01oak63146Cz,,6.81,,,
m01oak38199Cz,,6.81,,,
m01oak72083Cz,,6.80,,,
m01oak42556Cz,,6.80,,,
m01oak57568JI,m01oak57568JI-t01.1,6.80,F:PF00664 D:PF00005,2x:ABC_membrane ABC_tran,ABC transporter transmembrane region ~ ABC transporter
m01oak73466Cz,,6.80,,,
m01oak81146Cz,,6.80,,,
m01oak69220Cz,,6.79,,,
m01oak59992Cz,,6.79,,,
m01oak50082Cz,,6.79,,,
m01oak17317cC,m01oak17317cC-t01.1,6.79,m:PF05678,VQ,VQ motif
m01oak05953cf,m01oak05953cf-t01.1,6.79,AT5G38760,,Late embryogenesis abundant protein (LEA) family protein
m01oak30470Ct,,6.79,,,
m01oak62010Cz,,6.79,,,
m01oak09376CC,m01oak09376CC-t01.1,6.78,AT5G43650,BHLH92,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
m01oak82789Cz,,6.78,,,
m01oak35466cF,m01oak35466cF-t01.1,6.78,AT1G01900,SBTI1.1,subtilase family protein
m01oak82850Cz,,6.78,,,
m01oak13586Cz,,6.78,,,
m01oak46773Cz,,6.78,,,
m01oak55756ct,m01oak55756ct-t01.1,6.78,F:PF01095 D:PF04043,Pectinesterase PMEI,Pectinesterase ~ Plant invertase/pectin methylesterase inhibitor
m01oak81776Cz,,6.78,,,
m01oak61045CI,m01oak61045CI-t01.1,6.78,F:PF00282,Pyridoxal_deC,Pyridoxal-dependent decarboxylase conserved domain
m01oak07325Cz,,6.78,,,
m01oak30490ct,m01oak30490ct-t01.1,6.78,AT2G21100,,Disease resistance-responsive (dirigent-like protein) family protein
m01oak67329Cz,,6.77,,,
m01oak57560cF,m01oak57560cF-t01.1,6.77,F:PF00083 F:PF07690,Sugar_tr MFS_1,Sugar (and other) transporter ~ Major Facilitator Superfamily
m01oak02398cC,m01oak02398cC-t01.1,6.76,AT1G23800,ALDH2B7,aldehyde dehydrogenase 2B7
m01oak23767cC,m01oak23767cC-t01.1,6.76,F:PF02469,Fasciclin,Fasciclin domain
m01oak50708Cz,,6.76,,,
m01oak29729cC,m01oak29729cC-t01.1,6.75,AT3G21550,DMP2,DUF679 domain membrane protein 2
m01oak75213Cz,,6.75,,,
m01oak60748Cz,,6.75,,,
m01oak23487cF,,6.75,,,
m01oak53620Cz,,6.74,,,
m01oak50128Cz,,6.74,,,
m01oak68406Jz,,6.74,,,
m01oak69095Cz,,6.73,,,
m01oak29978Cz,,6.73,,,
m01oak03281CC,m01oak03281CC-t01.1,6.73,F:PF03168,LEA_2,Late embryogenesis abundant protein
m01oak40715cC,m01oak40715cC-t01.1,6.73,AT3G01830,,Calcium-binding EF-hand family protein
m01oak31479Cz,,6.73,,,
m01oak69530Jz,,6.73,,,
m01oak13778cC,m01oak13778cC-t01.1,6.73,D:PF00847,AP2,AP2 domain
m01oak59658Cz,,6.72,,,
m01oak76976Cz,,6.72,,,
m01oak79024Cz,,6.72,,,
m01oak22607CC,m01oak22607CC-t01.1,6.72,AT4G17260,,Lactate/malate dehydrogenase family protein
m01oak21608CC,m01oak21608CC-t01.1,6.71,AT4G36945,,PLC-like phosphodiesterases superfamily protein
m01oak70718Cz,,6.71,,,
m01oak51850Cz,,6.71,,,
m01oak76726Cz,,6.70,,,
m01oak24505CT,m01oak24505CT-t01.1,6.70,AT4G16820,PLA-I{beta}2,alpha/beta-Hydrolases superfamily protein
m01oak64200jC,m01oak64200jC-t01.1,6.70,D:PF01852,START,START domain
m01oak65476Cz,,6.69,,,
m01oak45303ct,,6.69,,,
m01oak59160cF,m01oak59160cF-t01.1,6.69,D:PF00305,Lipoxygenase,Lipoxygenase
m01oak83614Cz,,6.69,,,
m01oak55053Cz,,6.68,,,
m01oak67386JF,m01oak67386JF-t01.1,6.68,F:PF00664,ABC_membrane,ABC transporter transmembrane region
m01oak36564Cz,,6.68,,,
m01oak44393Cz,,6.68,,,
m01oak70438CI,m01oak70438CI-t01.1,6.67,D:PF03171,2OG-FeII_Oxy,2OG-Fe(II) oxygenase superfamily
m01oak63822cC,m01oak63822cC-t01.1,6.67,AT3G29000,,Calcium-binding EF-hand family protein
m01oak46116Cz,,6.66,,,
m01oak26442cC,m01oak26442cC-t01.1,6.65,F:PF04450 D:PF13485,BSP Peptidase_MA_2,Peptidase of plants and bacteria ~ Peptidase MA superfamily
m01oak72029Cz,,6.65,,,
m01oak72005Cz,,6.65,,,
m01oak22436cf,m01oak22436cf-t01.1,6.64,D:PF11789 D:PF04564,zf-Nse U-box,Zinc-finger of the MIZ type in Nse subunit ~ U-box domain
m01oak72853Cz,,6.64,,,
m01oak77223CF,,6.64,,,
m01oak72573Cz,,6.64,,,
m01oak73889Cz,,6.64,,,
m01oak02420CC,m01oak02420CC-t01.1,6.64,AT2G32150,,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
m01oak71419Cz,,6.64,,,
m01oak08522cf,m01oak08522cf-t01.1,6.64,F:PF05340,DUF740,Protein of unknown function (DUF740)
m01oak82954Cz,,6.63,,,
m01oak38906CC,m01oak38906CC-t01.1,6.63,AT5G07475,,Cupredoxin superfamily protein
m01oak69712Cz,,6.63,,,
m01oak62038Cz,,6.62,,,
m01oak53427Cz,,6.62,,,
m01oak72605Cz,,6.62,,,
